source_file,theta_cmd_deg,direction_sign,esc_us,t_s,position_m,velocity_mps,acceleration_mps2,theta_rad,thrust_N,rail_force_N,friction_residual_N,velocity_sign,dynamic_fit_N,spatial_residual_N
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,1.03999999999998,-0.0203979608211028,-0.0378331464083142,-0.367240299025956,-0.670635999999999,1.96649552651421,-1.22214623731542,-1.05556603767724,-1,-1.21406454489176,0.158498507214516
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,1.05999999999998,-0.0211385826966042,-0.0485457642025116,-0.557098385919092,-0.670635999999999,1.96649653717068,-1.22214686542262,-0.969447037569719,-1,-1.23927780817295,0.269830770603231
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,1.07999999999998,-0.0220797896633874,-0.0601170818450774,-0.576317976766085,-0.670635999999999,1.96649731949816,-1.22214735162692,-0.960729517365824,-1,-1.26651211110779,0.305782593741962
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,1.09999999999998,-0.0231907224766396,-0.0715984832731545,-0.553074635320717,-0.670635999999999,1.96649792508107,-1.22214772798723,-0.971273073405755,-1,-1.29353478685376,0.322261713448004
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,1.11999999999998,-0.0244405218915483,-0.0822400672579056,-0.499192343788289,-0.670635999999999,1.9664983938498,-1.22214801931967,-0.995714372177304,-1,-1.31858086465575,0.322866492478443
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,1.13999999999998,-0.0272487131694913,-0.0915661770246856,-0.399160555169487,-0.670635999999999,1.96649875671361,-1.22214824483386,-1.04108901700898,-1,-1.34053083668466,0.299441819675683
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,1.15999999999998,-0.0290231197462136,-0.0982064894646848,-0.268894439428805,-0.670635999999999,1.96649903759869,-1.22214841939955,-1.10017790167464,-1,-1.35615950458223,0.255981602907584
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,1.17999999999997,-0.0307975263229358,-0.102321954601838,-0.132379146781167,-0.670635999999999,1.96649925502581,-1.2221485545271,-1.16210137354717,-1,-1.36584568101651,0.203744307469341
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,1.19999999999997,-0.0326490810116895,-0.103501655335931,0.0470037011240171,-0.670635999999999,1.96649942333147,-1.22214865912644,-1.2434695379563,-1,-1.3686222297344,0.125152691778099
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,1.21999999999997,-0.0347166504141311,-0.100441806556877,0.0704493540519988,-0.670635999999999,1.96649955361327,-1.22214874009455,-1.25410456709253,-1,-1.36142055649737,0.107315989404841
