bootstrap_index,mean_thrust_N,std_thrust_N,min_sampled_thrust_N,max_sampled_thrust_N,mean_voltage_V,std_voltage_V,sampled_unit_ids
387,3.03266567083333,0.125124424591073,2.932601575,3.238860475,11.0327583333333,0.284911350540247,validation_seed2003_baseline_post;train_seed2001_baseline_post;train_seed2002_baseline_post;train_seed2002_baseline_post;train_seed2002_baseline_pre;train_seed2001_baseline_pre
388,3.04869145,0.120106326781948,2.9102753,3.238860475,11.1012125,0.226372541262187,validation_seed2003_baseline_pre;train_seed2001_baseline_post;train_seed2002_baseline_pre;train_seed2002_baseline_pre;train_seed2002_baseline_post;train_seed2001_baseline_pre
389,3.054635275,0.149912614270671,2.932601575,3.238860475,11.0722041666667,0.327468095551562,train_seed2002_baseline_post;train_seed2001_baseline_pre;validation_seed2003_baseline_post;train_seed2002_baseline_post;train_seed2002_baseline_pre;train_seed2001_baseline_pre
390,2.983306575,0.0963643708099652,2.9102753,3.10704285,10.8886833333333,0.261061362837684,validation_seed2003_baseline_pre;validation_seed2003_baseline_post;train_seed2001_baseline_post;validation_seed2003_baseline_pre;train_seed2001_baseline_post;validation_seed2003_baseline_post
391,2.9542998875,0.0756332517661556,2.9102753,3.10704285,10.8354958333333,0.210199482288059,validation_seed2003_baseline_pre;train_seed2002_baseline_post;validation_seed2003_baseline_post;train_seed2001_baseline_post;validation_seed2003_baseline_post;validation_seed2003_baseline_pre
392,2.97633635,0.129085535608605,2.9102753,3.238860475,10.9168791666667,0.275121468817262,validation_seed2003_baseline_pre;train_seed2002_baseline_post;validation_seed2003_baseline_post;validation_seed2003_baseline_pre;train_seed2001_baseline_pre;train_seed2002_baseline_post
393,3.09067904583333,0.0992832534621191,2.932601575,3.238860475,11.1391333333333,0.268258089657456,train_seed2001_baseline_post;validation_seed2003_baseline_post;train_seed2001_baseline_post;train_seed2001_baseline_post;train_seed2001_baseline_pre;train_seed2002_baseline_pre
394,2.97236265833333,0.0612871385470454,2.932601575,3.051483675,10.883575,0.216100500924916,train_seed2002_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_post;train_seed2002_baseline_pre;train_seed2002_baseline_pre;validation_seed2003_baseline_post
395,3.03273252916667,0.125060354088137,2.933002725,3.238860475,11.0746958333333,0.22817211399329,train_seed2002_baseline_post;train_seed2002_baseline_post;train_seed2001_baseline_post;train_seed2002_baseline_pre;train_seed2002_baseline_post;train_seed2001_baseline_pre
396,3.15665471666667,0.132749620108196,2.933002725,3.238860475,11.2994083333333,0.238749195635644,train_seed2001_baseline_pre;train_seed2001_baseline_pre;train_seed2002_baseline_pre;train_seed2001_baseline_pre;train_seed2002_baseline_post;train_seed2001_baseline_pre
397,3.11264865,0.116687448262225,2.932601575,3.238860475,11.1785791666667,0.296568301330685,train_seed2001_baseline_post;train_seed2002_baseline_pre;train_seed2001_baseline_pre;train_seed2001_baseline_post;train_seed2001_baseline_pre;validation_seed2003_baseline_post
398,3.04315263333333,0.112128780301975,2.932601575,3.238860475,11.0567208333333,0.270836011461118,train_seed2002_baseline_post;train_seed2002_baseline_pre;train_seed2001_baseline_pre;train_seed2002_baseline_pre;train_seed2002_baseline_pre;validation_seed2003_baseline_post
399,2.98722819583333,0.0932245203201195,2.9102753,3.10704285,10.9846166666667,0.176375878216575,train_seed2001_baseline_post;train_seed2002_baseline_post;train_seed2002_baseline_post;train_seed2001_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_pre
400,3.15665471666667,0.132749620108196,2.933002725,3.238860475,11.2994083333333,0.238749195635644,train_seed2001_baseline_pre;train_seed2002_baseline_post;train_seed2001_baseline_pre;train_seed2001_baseline_pre;train_seed2001_baseline_pre;train_seed2002_baseline_pre
